dam_name,county,state,latitude,longitude
Alitak Cannery Dam #1,Kodiak Island Borough,AK,56.9,-154.24
Hess Creek Dam,Yukon Flats Reaa,AK,65.59333000000001,-148.3916
Meals Lake Dam,Chugach Reaa,AK,60.531666,-145.75
Balboa Lake Dam,Garland,AR,34.626389,-92.8972219999999
Broadmoor Lake Dam,Pulaski,AR,34.7266669999999,-92.343333
Clearwater Lake Dam,Hot Spring,AR,34.466667,-92.79333299999999
Deer Run Lake Dam,Sharp,AR,36.045,-91.632778
Echols Lake Dam,Sebastian,AR,35.3599999999999,-94.386667
Florence Dam,Pulaski,AR,34.719999999,-92.47333299999991
Ginger Hill Lake Dam,Pulaski,AR,34.803333,-92.55333299999991
Horsehead Lake Dam,Johnson,AR,35.5577779999999,-93.63388899999991
Lake Atalanta Dam,Benton,AR,36.34,-94.0949999999999
Lake Fayetteville,Washington,AR,36.136666999999996,-94.13833299999999
Lake June Dam,Sharp,AR,36.2816669999999,-91.5183329999999
Lake Kiwanie Dam,Sharp,AR,36.305,-91.50833299999991
Lake Mena Dam,Polk,AR,34.5825,-94.19249999999991
Lake Mirandy Dam,Sharp,AR,36.28,-91.520278
Lake Pauline Dam,Saline,AR,34.578333,-92.56
Lake Poinsett Dam,Poinsett,AR,35.523333,-90.675556
Lake Thunderbird Dam,Sharp,AR,36.305,-91.5333329999999
Lakewood Lake No. 1 Dam,Pulaski,AR,34.7833329999999,-92.23999999999901
Lower White Oak Dam,Ouachita,AR,33.701667,-93.09666699999991
Ludwig Lake Dam,Johnson,AR,35.5333329999999,-93.4558329999999
Ola-Dale,Yell,AR,35.0316669999999,-93.23277799999991
Paris Dam,Logan,AR,35.2749999999999,-93.726667
Pebble Lake Dam,Saline,AR,34.6169439999999,-92.543056
Rainbow Lake Dam,Sharp,AR,36.321944,-91.479444
Ricks Dam,Garland,AR,34.5661109999999,-93.0949999999999
Sebastian Lake Dam,Sebastian,AR,35.2133329999999,-94.40333299999999
Spring Lake Dam,Sharp,AR,36.2897219999999,-91.393056
Vagabond Lake Dam,Sharp,AR,36.2833329999999,-91.37138899999991
Wild Plum Lake Dam,Sharp,AR,36.273333,-91.526667
Black Canyon,Navajo,AZ,34.33083,-110.69806000000001
Buckeye Frs #1,Maricopa,AZ,33.43278,-112.635
Central Detention,Graham,AZ,32.768609999999995,-109.79972
Colter,Apache,AZ,34.360279999999996,-109.41917
Cook Reservoir,Graham,AZ,32.77528,-109.72778000000001
Fool Hollow,Navajo,AZ,34.27778,-110.07361000000002
Fredonia,Coconino,AZ,36.95417,-112.51472
Frye Mesa,Graham,AZ,32.75417,-109.83361000000001
Green Road Basin,Pinal,AZ,32.8864,-112.0581
Jaques,Navajo,AZ,34.19722,-110.0
Maricopa Road Basin,Pinal,AZ,32.8825,-112.0497
Millett Swale,Navajo,AZ,34.43056,-110.04111
Odell,Coconino,AZ,34.93306,-111.63306000000001
Stockton Wash Retarding,Graham,AZ,32.79139,-109.68833000000001
Walnut Canyon,Coconino,AZ,35.166109999999996,-111.47583
Kelley Hot Spring Fish,Modoc,CA,41.4488,-120.8418
Matilija,Ventura,CA,34.4838,-119.3084
Misselbeck,Shasta,CA,40.5003,-122.6971
Moccasin Lower,Tuolumne,CA,37.8123,-120.3057
North Fork,Santa Clara,CA,37.0498,-121.2921
Oroville,Butte,CA,39.5426,-121.4915
Adobe Creek,Bent,CO,38.234999,-103.280555
Apishapa,Las Animas,CO,37.334998999999996,-104.77056
Big Battlement,Delta,CO,38.994999,-108.05221999999999
Cucharas #5,Huerfano,CO,37.748315999999996,-104.598293
Florence South Res. No. 2,Fremont,CO,38.338342,-105.1192
Goose Pasture Tarn,Summit,CO,39.454999,-106.03222
Grass Valley,Garfield,CO,39.606669000000004,-107.66056
Jefferson Lake,Park,CO,39.450559000000005,-105.8625
Leon Lake,Mesa,CO,39.068385,-107.80221100000001
Red Mesa Ward,La Plata,CO,37.166669,-108.14222
Sanchez,Costilla,CO,37.113865999999994,-105.41063700000001
Skeel,Denver,CO,39.656665000000004,-104.94388799999999
Smith,Jefferson,CO,39.686771,-105.113413
South Lake,El Paso,CO,38.784999,-104.81056
Tarryall,Park,CO,39.223329,-105.60722
Teller,El Paso,CO,38.449999,-104.83389
Two Buttes,Baca,CO,37.635919,-102.538103
Upper Long Lake,Jefferson,CO,39.822839,-105.23563899999999
Valley No. 1,El Paso,CO,38.872499,-104.875
Valley No. 2,El Paso,CO,38.86472,-104.88028
Vouga,Saguache,CO,38.354999,-106.66389
Walsenburg City Lake,Huerfano,CO,37.596669,-104.85722
Willow Springs #1,Jefferson,CO,39.619136,-105.18049099999999
Y T Ranch,Mesa,CO,39.186669,-107.89388999999998
Acme Pond Dam,Windham,CT,41.847117,-71.817674
Crystal Lake Dam,Middlesex,CT,41.52491,-72.638086
Fitchville Pond Dam,New London,CT,41.5638,-72.155644
Freshwater Pond Dam,Hartford,CT,41.998535,-72.599696
Great Hill Reservior Dam,New Haven,CT,41.375508,-73.13170699999999
Hanover Reservoir Dam,New London,CT,41.647259000000005,-72.06059
North Grosvenordale Dam,Windham,CT,41.991859999999996,-71.895232
Oxoboxo Lake Dam,New London,CT,41.484653,-72.193208
Silvia'S Lower Pond Dam,New London,CT,41.359046,-71.909155
Staffordville Reservoir Dam,Tolland,CT,41.996399,-72.260059
Sylvia'S Upper Pond Dam,New London,CT,41.360413,-71.909461
Williams Pond Dam,Hartford,CT,41.704142,-72.596811
Ingram Pond Dam,Sussex,DE,38.588159999999995,-75.32668000000001
Millsboro Pond Dam,Sussex,DE,38.59448,-75.29099000000001
Moores Lake Dam,Kent,DE,39.126090000000005,-75.51846
Shoals Branch Dam,Sussex,DE,38.57824,-75.34449000000001
Silver Lake Dam - Middletown,New Castle,DE,39.43801,-75.69339000000001
Blue Springs Recreation Lake Dam,Taylor,FL,29.835333000000002,-83.570444
L.P.Hill Dam #2,Columbia,FL,30.168221999999997,-82.603778
L.P.Hill Dam 1,Columbia,FL,30.171573,-82.60983399999999
Meadow View Lake Dam,Polk,FL,28.103331,-81.987938
Un-Named Dam,Polk,FL,28.007271000000003,-81.82927
4-J Farms Lower Lake Dam,Crawford,GA,32.61492,-83.94091
Athens Waterworks Reservoir Dam,Clarke,GA,33.979167,-83.374444
Atlanta Reservoir Dam No. 1,Fulton,GA,33.79425,-84.411528
Baughs Crossroad Lake Dam,Troup,GA,32.92,-85.05
Bedgood'S Lake Dam,Clarke,GA,33.94719,-83.49779000000001
Belair Lake Dam,Henry,GA,33.575278000000004,-84.21583299999999
Berry Reservoir Dam,Floyd,GA,34.325556,-85.263889
Big Cedar Creek Ws Str # 32,Polk,GA,33.9325,-85.267778
Big Cedar Creek Ws Str # 41,Polk,GA,33.937778,-85.21777800000001
Big Cedar Creek Ws Str # 48,Polk,GA,33.95151,-85.19098000000001
Black Rock Mountain Lake Dam,Rabun,GA,34.923840000000006,-83.41216
Blackmon Lake Dam,Muscogee,GA,32.57438,-85.00992
Boleman Hill Road Pond Dam,Hart,GA,34.449417,-82.94255600000001
Bradbury Lake Dam,Fayette,GA,33.505694,-84.522389
Bull Creek Ws Str # 12,Muscogee,GA,32.54634,-84.91468
Bull Creek Ws Str # 14,Muscogee,GA,32.53417,-84.94100999999999
Burdine'S Pond Dam,Fannin,GA,34.833472,-84.36236099999999
Burgess Lake Dam,Troup,GA,32.928611,-84.893056
Carriage Lake Dam,Fulton,GA,33.985875,-84.288011
Cartecay River Ws Str # 3,Gilmer,GA,34.671079999999996,-84.31752
