dam_name,county,state,condition_assessment_standardized,hazard_standardized,last_inspection_date,year_dam_completed,latitude,longitude,state2
Alitak Cannery Dam #1,Kodiak Island Borough_AK,AK,poor,high,2015-08-20,1917,56.9,-154.24,Alaska
Hess Creek Dam,Yukon Flats Reaa_AK,AK,poor,high,2012-09-06,1946,65.59333000000001,-148.3916,Alaska
Meals Lake Dam,Chugach Reaa_AK,AK,poor,high,2017-10-02,1972,60.531666,-145.75,Alaska
Balboa Lake Dam,Garland_AR,AR,poor,high,2017-01-30,1986,34.626389,-92.8972219999999,Arkansas
Broadmoor Lake Dam,Pulaski_AR,AR,poor,high,2017-03-23,1952,34.7266669999999,-92.343333,Arkansas
Clearwater Lake Dam,Hot Spring_AR,AR,poor,high,2017-03-23,1948,34.466667,-92.79333299999999,Arkansas
Deer Run Lake Dam,Sharp_AR,AR,unsatisfactory,high,2016-07-01,1978,36.045,-91.632778,Arkansas
Echols Lake Dam,Sebastian_AR,AR,unsatisfactory,high,2017-06-06,1946,35.3599999999999,-94.386667,Arkansas
Florence Dam,Pulaski_AR,AR,unsatisfactory,high,2017-03-23,1950,34.719999999,-92.47333299999991,Arkansas
Ginger Hill Lake Dam,Pulaski_AR,AR,poor,high,2017-05-11,1974,34.803333,-92.55333299999991,Arkansas
Horsehead Lake Dam,Johnson_AR,AR,poor,high,2017-02-28,1950,35.5577779999999,-93.63388899999991,Arkansas
Lake Atalanta Dam,Benton_AR,AR,poor,high,2017-04-05,1936,36.34,-94.0949999999999,Arkansas
Lake Fayetteville,Washington_AR,AR,poor,high,2017-04-04,1949,36.136666999999996,-94.13833299999999,Arkansas
Lake June Dam,Sharp_AR,AR,poor,high,2016-11-10,1956,36.2816669999999,-91.5183329999999,Arkansas
Lake Kiwanie Dam,Sharp_AR,AR,poor,high,2016-11-10,1964,36.305,-91.50833299999991,Arkansas
Lake Mena Dam,Polk_AR,AR,poor,high,2017-03-02,1949,34.5825,-94.19249999999991,Arkansas
Lake Mirandy Dam,Sharp_AR,AR,poor,high,2016-10-10,1958,36.28,-91.520278,Arkansas
Lake Pauline Dam,Saline_AR,AR,unsatisfactory,high,2017-03-01,1956,34.578333,-92.56,Arkansas
Lake Poinsett Dam,Poinsett_AR,AR,poor,high,2017-06-29,1967,35.523333,-90.675556,Arkansas
Lake Thunderbird Dam,Sharp_AR,AR,poor,high,2016-04-18,1962,36.305,-91.5333329999999,Arkansas
Lakewood Lake No. 1 Dam,Pulaski_AR,AR,poor,high,2017-04-13,1925,34.7833329999999,-92.23999999999901,Arkansas
Lower White Oak Dam,Ouachita_AR,AR,unsatisfactory,high,2016-06-08,1959,33.701667,-93.09666699999991,Arkansas
Ludwig Lake Dam,Johnson_AR,AR,poor,high,2017-02-28,1950,35.5333329999999,-93.4558329999999,Arkansas
Ola-Dale,Yell_AR,AR,poor,high,2016-07-25,1962,35.0316669999999,-93.23277799999991,Arkansas
Paris Dam,Logan_AR,AR,poor,high,2016-08-08,1939,35.2749999999999,-93.726667,Arkansas
Pebble Lake Dam,Saline_AR,AR,poor,high,2017-06-12,1962,34.6169439999999,-92.543056,Arkansas
Rainbow Lake Dam,Sharp_AR,AR,unsatisfactory,high,2016-06-06,1961,36.321944,-91.479444,Arkansas
Ricks Dam,Garland_AR,AR,poor,high,2017-07-13,1949,34.5661109999999,-93.0949999999999,Arkansas
Sebastian Lake Dam,Sebastian_AR,AR,poor,high,2017-06-06,1963,35.2133329999999,-94.40333299999999,Arkansas
Spring Lake Dam,Sharp_AR,AR,poor,high,2016-04-19,1960,36.2897219999999,-91.393056,Arkansas
Vagabond Lake Dam,Sharp_AR,AR,poor,high,2016-04-19,1960,36.2833329999999,-91.37138899999991,Arkansas
Wild Plum Lake Dam,Sharp_AR,AR,poor,high,2016-11-10,1961,36.273333,-91.526667,Arkansas
Black Canyon,Navajo_AZ,AZ,poor,high,2018-05-09,1964,34.33083,-110.69806000000001,Arizona
Buckeye Frs #1,Maricopa_AZ,AZ,poor,high,2017-10-24,1974,33.43278,-112.635,Arizona
Central Detention,Graham_AZ,AZ,poor,high,2017-11-07,1948,32.768609999999995,-109.79972,Arizona
Colter,Apache_AZ,AZ,poor,high,2017-10-12,1908,34.360279999999996,-109.41917,Arizona
Cook Reservoir,Graham_AZ,AZ,unsatisfactory,high,2017-12-13,1940,32.77528,-109.72778000000001,Arizona
Fool Hollow,Navajo_AZ,AZ,poor,high,2018-06-05,1956,34.27778,-110.07361000000002,Arizona
Fredonia,Coconino_AZ,AZ,unsatisfactory,high,2018-05-22,1973,36.95417,-112.51472,Arizona
Frye Mesa,Graham_AZ,AZ,poor,high,2018-04-05,1929,32.75417,-109.83361000000001,Arizona
Green Road Basin,Pinal_AZ,AZ,unsatisfactory,high,2018-02-21,1995,32.8864,-112.0581,Arizona
Jaques,Navajo_AZ,AZ,poor,high,2017-09-20,1953,34.19722,-110.0,Arizona
